172.25.0.1 - - [25/Jan/2026:09:16:54 +0000] "GET / HTTP/1.1" 500 1840542 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
172.24.0.1 - - [25/Jan/2026:09:29:20 +0000] "GET / HTTP/1.1" 200 18438 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
172.24.0.1 - - [25/Jan/2026:09:29:20 +0000] "GET /favicon.ico HTTP/1.1" 200 0 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
172.24.0.1 - - [25/Jan/2026:09:33:08 +0000] "\x16\x03\x01\x07\x00\x01\x00\x06\xFC\x03\x03\xF3k\x00\xEB\xFC\xEC~\xDBM\xBF\xE7\x16z\xAC\x9B\xF5\xD9\x9B\xD8~\xCC\xC0>\x9C\xBC&6\x1D\x88\xC0CA \x9B]\x1C\x17\x13f\xE0[\xFA\x8E\xA7\xF0\xF1\x1C\xB1U\xF0\x00VS\x15\x83p\xA0=\xB2\xB1\x8C\xA8h.\x9E\x00 ZZ\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x06\x93JJ\x00\x00\x00\x0B\x00\x02\x01\x00\xFF\x01\x00\x01\x00\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00" 400 150 "-" "-"
172.24.0.1 - - [25/Jan/2026:09:33:08 +0000] "\x16\x03\x01\x06\xA0\x01\x00\x06\x9C\x03\x03\xB4\xC5\xEA\xD5B\x00\x08\xEB\x80\x8C\xB5\xF2\xAD\xB2" 400 150 "-" "-"
172.24.0.1 - - [25/Jan/2026:11:06:10 +0000] "\x16\x03\x01\x06\xA0\x01\x00\x06\x9C\x03\x03{\xB4AW<\xC9\x06\x141T\xA3Jd{e" 400 150 "-" "-"
172.24.0.1 - - [25/Jan/2026:11:06:10 +0000] "\x16\x03\x01\x07\x00\x01\x00\x06\xFC\x03\x03B\xC7\x00\xE7\xB4JT\xF8\xB6\x98[\x11\x0E\xBF\xEE*\x9F#\x1F\xAA\x9F\x87\x1E\xE0\x88xIa8(\xF6\xB2 ]\x99\xA4\xAB\xA3\xA6;\xA6\x0B\xD5\xB2o\xD1\xA8\xCA\xA1jt\xE7\x0B\x12N\x10\xD9[6p\xB7\xF5\x15\x02" 400 150 "-" "-"
172.24.0.1 - - [25/Jan/2026:20:45:12 +0000] "\x16\x03\x01\x06\xC0\x01\x00\x06\xBC\x03\x03\x0F\x1D\x1F\xD4\x11\x93W\xA3Zt*9\xA2=\x13%\x22B\xA7\xF3\xF1\x1B\xB0|D\x8B\x92\x01\xD5\xCC\x83\x81 o\x1B<;\xFA\xE2\x99\xBD" 400 150 "-" "-"
172.24.0.1 - - [25/Jan/2026:20:45:12 +0000] "\x16\x03\x01\x06\xC0\x01\x00\x06\xBC\x03\x03\xFA\xD3]P\xF8\xF8\x8E\x8F\xF3\xFF\x0B\x8Fy\x15\x07]l\x09\x22\xDB\x01\xE6\xDB\xB0\xEE\xC91\xE5k\xD4\xB3\x0C \xA2 \x04\x04+\xD4s\x15\x89\xBAd\xB8Y\x90\x9Fx\xE6#l\x1D\x86\xCA\xA5\xBD\x22\xFC\xFE\x0Fy\x0C\xA4#\x00 \xAA\xAA\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x06S**\x00\x00\x00\x12\x00\x00\x00#\x00\x00\x003\x04\xEF\x04\xEDjj\x00\x01\x00\x11\xEC\x04\xC0B\xC8!az\x16\x9E\x97\x16A$\x91\x1E\xA0\x16Y\xD3%\xF1\x85\xB71\xD5(X\x5CqQ\xA8\x88\x19\x0B\xB94T\xCF{v\x11\x88\x94&,\x045\xFE\xE7F\xB9S\x15DxC\xB4\xBB\xB6\x22{\x8E3\xA0\xC5\xAE\x99\x18\xE0\xEA\xAAO\x01X?\xF4M\xD5\x14\x88Bkv\xB7Q7\x0C\x06\xA7\xEC0MH\xD7R\xDB\xE5#`J" 400 150 "-" "-"
172.24.0.1 - - [25/Jan/2026:20:49:45 +0000] "\x16\x03\x01\x06\xC0\x01\x00\x06\xBC\x03\x03)\xC0\xB8\xFE \xD6h\xD1\xF2\xF3\xD2\xCD\xC0\x9D\xB2\x9Al}\xDF@.E\xCF5d\x02\xEC\x03[\xD0T\x14 \x01.\xB14\xB8#\x15\xDF2\xEA\xE9X\xEC\xBD\xF2\xCD Q\xD6\x1D\xC2\xBD\x94\x9BdSY\xA9{\xC3_\xEC\x00 JJ\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x06S\xAA\xAA\x00\x00D\xCD\x00\x05\x00\x03\x02h2\x00#\x00\x00\x00" 400 150 "-" "-"
172.24.0.1 - - [25/Jan/2026:20:49:45 +0000] "\x16\x03\x01\x06\xA0\x01\x00\x06\x9C\x03\x03\xE2$;T\x92\xD4'\xCC\x01\xDF\xEE{O\xF4sE\xCA&\xE7\xE4e\xF7\x0F\xC1b\xD2\x85\xD2\xDF\xAC\xAB\xFA \x03\xA7_\x8F9\x1A\xE8\xC7\xFC\x00+\xE6\x8D/\xD3#\x81\xC1\x87\xF8U\x0F~\xAD\xE9\x0E\xAC\xED\xC9\x06\xE7\xFB\x00 \xAA\xAA\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x063JJ\x00\x00\x00+\x00\x07\x06**\x03\x04\x03\x03\x00-\x00\x02\x01\x01\x00\x10\x00\x0E\x00\x0C\x02h2\x08http/1.1\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00\x1B\x00\x03\x02\x00\x02\x00\x12\x00\x00\x00#\x00\x00D\xCD\x00\x05\x00\x03\x02h2\xFE" 400 150 "-" "-"
